"","Active Cases","Deaths","Recoveries","Inactives removed"
"10/06","224,620","8,960","311,270","7,023,754"
"11/06","221,532","9,030","311,270","7,052,559"
"12/06","218,238","9,054","311,270","7,076,672"
"13/06","212,977","9,065","311,270","7,101,500"
"14/06","205,302","9,093","311,270","7,130,911"
"15/06","204,406","9,146","311,270","7,162,784"
"16/06","205,901","9,218","311,270","7,193,317"
"17/06","208,823","9,268","311,270","7,220,711"
"18/06","211,471","9,332","311,270","7,245,028"
"19/06","212,323","9,374","311,270","7,266,296"
"20/06","212,094","9,387","311,270","7,289,953"
"21/06","211,920","9,445","311,270","7,319,421"
"22/06","213,661","9,507","311,270","7,348,748"
"23/06","215,961","9,558","311,270","7,378,268"
"24/06","220,323","9,603","311,270","7,405,233"
"25/06","224,094","9,659","311,270","7,429,899"
"26/06","227,165","9,685","311,270","7,450,492"
"27/06","228,903","9,704","311,270","7,472,670"
"28/06","231,465","9,778","311,270","7,500,486"
"29/06","237,735","9,837","311,270","7,528,799"
"30/06","243,763","9,897","311,270","7,567,283"
"01/07","247,128","9,930","311,270","7,588,499"
"02/07","253,926","9,984","311,270","7,614,357"
"03/07","261,252","10,014","311,270","7,637,356"
"04/07","265,696","10,040","311,270","7,663,717"
"05/07","268,698","10,086","311,270","7,701,284"
"06/07","282,006","10,130","311,270","7,724,502"
"07/07","290,288","10,190","311,270","7,760,000"
"08/07","298,910","10,225","311,270","7,793,412"
"09/07","306,136","10,302","311,270","7,823,403"
"10/07","309,083","10,315","311,270","7,851,807"
"11/07","311,569","10,327","311,270","7,878,671"
"12/07","314,311","10,385","311,270","7,915,907"
"13/07","316,773","10,437","311,270","7,957,639"
"14/07","322,612","10,518","311,270","7,999,296"
"15/07","328,337","10,582","311,270","8,036,924"
"16/07","332,669","10,659","311,270","8,072,886"
"17/07","337,092","10,689","311,270","8,106,372"
"18/07","341,435","10,719","311,270","8,138,768"
"19/07","348,018","10,794","311,270","8,180,270"
"20/07","354,381","10,879","311,270","8,223,551"
"21/07","362,956","10,968","311,270","8,281,611"
"22/07","371,410","11,032","311,270","8,326,241"
"23/07","376,559","11,134","311,270","8,366,121"
"24/07","379,214","11,170","311,270","8,401,481"
"25/07","377,523","11,200","311,270","8,439,042"
"26/07","377,010","11,303","311,270","8,486,042"
"27/07","374,197","11,387","311,270","8,538,151"
"28/07","371,776","11,512","311,270","8,585,442"
"29/07","369,848","11,669","311,270","8,633,847"
"30/07","364,491","11,809","311,270","8,688,850"
"31/07","357,462","11,850","311,270","8,725,614"
"01/08","347,530","11,864","311,270","8,769,758"
"02/08","335,026","11,961","311,270","8,817,915"
"03/08","327,373","12,026","311,270","8,866,494"
"04/08","319,030","12,119","311,270","8,911,952"
"05/08","314,131","12,201","311,270","8,951,370"
"06/08","302,488","12,288","311,270","8,991,616"
"07/08","294,763","12,320","311,270","9,022,149"
"08/08","283,062","12,335","311,270","9,051,408"
"09/08","269,862","12,437","311,270","9,091,049"
"10/08","257,090","12,568","311,270","9,130,969"
"11/08","245,893","12,653","311,270","9,167,366"
"12/08","237,053","12,739","311,270","9,199,078"
"13/08","229,363","12,828","311,270","9,226,826"
"14/08","221,692","12,862","311,270","9,250,185"
"15/08","212,823","12,886","311,270","9,273,527"
"16/08","201,977","12,959","311,270","9,304,083"
"17/08","192,994","13,026","311,270","9,333,700"
"18/08","185,738","13,156","311,270","9,360,535"
"19/08","178,210","13,229","311,270","9,384,945"
"20/08","170,860","13,326","311,270","9,407,495"
"21/08","163,143","13,362","311,270","9,425,390"
"22/08","156,430","13,367","311,270","9,443,291"
"23/08","148,327","13,457","311,270","9,460,702"
"24/08","141,960","13,506","311,270","9,483,074"
"25/08","135,646","13,588","311,270","9,502,683"
"26/08","131,590","13,648","311,270","9,520,059"
"27/08","127,318","13,734","311,270","9,535,615"
"28/08","123,568","13,749","311,270","9,548,642"
